id,name,artist_name,description,short_description
10,Ligisdmfl,Ligisd Vejam Rizo,"Ligisd, Vejam och Rizo

12X9m 2014.

Det okonventionella.

Religiös graffiti. Tron till det vi inte begriper.

Graffiti är text. Inte figuration. Men text och bokstäver är figurationer. Förenklingar av figurer.

Graffitins ord är en konstnärlig, visuell och estetisk kommentar till det internationella användandet av ord i såväl tal som skrift. En tro på ordets kraft som vi anammat för att kunna kommunicera enkelt med varandra. Det är en bra tanke. Men kinesiskan, finskan och svenskan är trots detta för långt ifrån varandra så lik förbannat står man där med alla sina uttalade och skrivna ord och kan aldrig förstå varandra och kanske därav aldrig komma överens.

Graffitins texter kan dock (o)förstås av alla oavsett ursprung. Det är stilens styrka som avgör. Inte vem som gjort den. När Ligisd åter dök upp i Sverige kring 2014 så häpnade graffitiscenen över hans stil som satt som en smäck men andades en osvenskhet vi inte begrep oss på men förfördes av. Nyckeln låg i hans längre vistelser och praktik i Sydamerika och de influenser han fått därifrån.

Det religiösa i denna målning illustreras med djur/personfiguren, de allseende ögonen, vätskan/födan och skriften. Graffiti som religiös vägledning. Inte illa tänkt. Graffitin och Hip Hop har fortfarande inget manifest. Den är fortfarande öppen för alla.

När jag själv rest runt om i världen har jag blivit mottagen med öppna armar i alla sammanhang av graffitimålare/konstnärer och HipHop aktivister. Inte för vem jag är, det är helt oviktigt, utan för det jag gör. Jag har blivit omhändertagen av människor från alla möjliga samhällsklasser och med vitt skilda kulturella bakgrunder. Fattiga och rika. Utbildade och outbildade. Det är kraftfulla nycklar till en dynamisk värld fylld av människor som av olika anledningar vill verka för alla andra. Jag har blivit hembjuden, jag har blivit rundvisad och omhändertagen. Jag har fått mat, sovplats och dryck. Och jag har fått måla och projektera till mig visade platser jag aldrig nått annars.

Hangaren är en sådan plats. Hit har flera målare från olika hörn av världen kommit, målat och fått en tid oförglömlig från Malmö, Sverige som de sedan tar med sig hem.","Bold graffiti merging religious symbolism with South American influences, evoking a vivid urban narrative."
10,bAjja,10bÖvermålad2,"Övermålat.

Ett öppet, vitt och inbjudande måleri. Mycket individuellt.

En utjämning med vit färg upplöste den tidigare figurationen och sammanförde allt på ett raffinerat sätt.

Borta var det självupptagna och det skeva.

Är målningen klar? Den är övermålad. Borta. Och det intressanta resultatet är en effekt av en snabb övermålning. Varför? För det sköna varar inte för evigt. Som Mandala.

Jag vill också delta och bedöma vad skönheten innebär och hur den kan vara oss till nytta. Eller i varje fall i onytta.","Elegant overpainting transforms a white canvas into a refined, transient masterpiece celebrating beauty and impermanence."
11,Fups7DC,Fups7,"F.UPS

Familjen

7DC

4X9m

Graffiti som familj.

Det är verkligen ingen ovanlighet att graffitimålare ingår i ett kollektiv. En grupp eller crew. En substitutfamilj.

Trots att det idag finns väldigt många kvinnliga målare i Sverige så känner jag inte till någon kvinnlig graffitigrupp. Inte ens två kvinnliga målare som jobbar tillsammans. Medan så gott som 100% av de manliga målarna ingår i någon eller flera grupperingar.

Ensam är stark. Det är finkonstens hörnsten. Tillsammans är vi starkare. Det är graffitins och HipHopens motto. Egot i konsten kommer finnas kvar under lång tid. Det finns för många starka individuella och viktiga konstnärsskap för att föringa dess värde. Och det vet vi. Länge leve graffitigruppen och samarbetet som kan ta många och kraftfulla beslut att inte bara lyfta den enskildes skicklighet utan faktiskt allas vår skicklighet. Som individer och som grupp.

Den enorma familjen i vilken alla får vara med.

Hangarens graffiti har den Amerikanska graffitin som förebild. I USA råder fortfarande tanken om den Amerikanska drömmen att den enskilde, oavsett ursprung och social ställning, kan lyckas och till och med bli landets president.

När ska vi hylla den Svenska Drömmen?

Att vi alla tillsammans kan lyckas och att vi alla tillsammans kan nå alla våra mål.","Intimate graffiti capturing the power of a united crew, celebrating creativity and collective strength in urban art."
12,KaosRuskigAngest,RUSKIG ÅNGEST och Kaos,"RUSKIG ÅNGEST och Kaos

8X8m. 2014

Ett 'Vi inte ett Jag'.

Ett antirasistiskt verk.

1987 träffades vi första gången som mycket unga graffitimålare i Uppsala där vi båda är födda och uppväxta. Vi hade enbart gjort ett par målningar, på tu man hand, innan, men vi visste ju ändå vilken den andra var då scenen inte var speciellt imponerande eller stor på den tiden. Vi bestämde oss för att göra en målning tillsammans. Det blev fler.

Vårt samarbete har fortsatt i över 30 år. Vi har båda mängder av projekteringar och processer omkring oss men med jämna mellanrum och mycket kontinuerligt fortsätter vi RUSKIG ÅNGEST måleriet. Idag 2017 är Ruskig Ångest ett koncept för samarbetsmåleri och konstnärlig gemenskap oavsett vilka som ingår. I de Ruskig Ångest samarbeten som gjorts genom alla åren har ett hundratal personer ingått.","Collaborative anti-racist graffiti blending decades of creative synergy into a raw, powerful visual manifesto."
13,LisaEwald,LisaEwaldTEXT2014,"Lisa Ewald 2014

4X8m

Innan jag beskriver Lisas verk vill jag berätta om ett samtal Lisa överhörde för en tid sedan mellan mig och en reporter med väldigt tjocka genusglasögon. Jag och Lisa var involverade i samma måleriprojekt på Kållereds Pendeltågstation i Mölndal och jag blev intervjuad av lokalradion på grund av denna måleriska gestaltning. Mitt i intervjun bytte reportern plötsligt samtalsämne och frågade mig med en skarp ton i stämman; ”Hur många figurer har ni målat i verket?” Jag svarade att jag var osäker men kanske 20 olika figurationer. ”Och hur många av dessa är kvinnliga figurer?”, frågade hen vidare och spände anklagande blicken på mig. Jag förklarade att hen måste ha misstagit sig rejält, och utan att jag räknat skulle jag gissa att figurerna var jämnt fördelade. Hen stod dock på sig och menade att hen precis hade räknat figurerna på pendeltågstationen, och under resten av intervjun gjorde hen en stor sak av hur ojämlikt det var på kvinnors bekostnad i samhället och i vår graffitigestaltning.

När intervjun var över gick jag direkt och räknade antalet tydligt kvinnliga karaktärer i vår bild samt antalet manliga. Det visade sig vara 9 manliga och 13 kvinnliga. Jag blev irriterad och sa till reportern att hen gärna fick ta av sig sina färgglada genusglasögon och räkna igen.

Lisa Ewald, som nämnt i inledningen, överhörde samtalet och skrattade åt komiken. Trots att jag var upprörd tog vi det hela med en nypa salt. (Reportern skulle strax få sparken dock.) Lisas kommentar var: ”Jag gillar galna feminister!”

Med denna kommentar i bakhuvudet iakttar jag Lisas verk i Hangaren. Kanske det tydligaste politiska verket härinne, särskilt bland kvinnliga besökare.","Provocative reworking of classic themes challenges gender norms and sparks debate with bold, striking urban imagery."
14,RuskigAngestMakt,RUSKIGAngestMakt,"MAKT

Ruskig Ångest 2 väggar 4X5m

Indikatorn och jämlikhetsmakten.

Sura gubbar i rivningshus, övergivna hus och andra öde platser. Gubbarna är inte bara sura utan också sega, ledsna och stundtals blygt förbannade. De flesta är målade med spray, och även om det har tagit mycket arbete, är den enskilde gubben en snabb process – från 2 minuter till 4 timmar.

Under dessa år har det hunnit bli en del gubbar. Några visas här. Många fler kommer. Någon kan tycka att det inte är roligt att måla sura gubbar, men det är viktigt. Jag har bestämt mig för att fortsätta måla dem tills jämlikheten är uppnådd. Den dagen blir den sura gubben glad.

Vill du vara med? Måla en riktigt grinig gubbe.

I oktober 2013 kom jag på att mitt projekt inte är jämställt eftersom jag bara målar gubbar, så jag har börjat måla sura tanter också.

Under 2017 har projektet börjat ändras mot en nyansering av genusproblematiken.","Striking commentary on power and equality using surly figures to highlight societal imbalances in bold urban style."
15,UaIr1,U&Ir1TEXT2014,"U&Ir1

4X10m. 2014.

För ungefär 100 år sedan formulerades konstruktivismens idéer – att skapa en konst och ett bildspråk som förstås av alla oavsett ursprung. Idéerna byggdes på matematik, tankar om själen och den gudomliga geometrin. Trots att dessa idéer ibland ansågs torra och akademiska, har gatukonst och graffitismen lyckats förmedla dem bäst.

U&Ir1 kombinerar det konstruktiva med lekfulla ord, där matematiken (Roten ur 2, gyllene snittet) ger spänning och harmoni. Verket är tekniskt skickligt och visar en enhet – "Du och jag är ett".","Mathematically inspired fusion of constructivist ideals and street art, celebrating unity with playful visual harmony."
16,MaxSolca,Max Solca,"Max Solca

Melodin 2015. 4X10m.

Serier i storformat.

Max hade ambitionen att skapa 100 stora seriemålningar i offentlig miljö under ett år. Detta är en av dem. Graffitins bildspråk, starkt influerat av popkulturen, har sedan 70-talet påverkat otaliga verk. Det illustrativa har förvandlats till en non-figurativ kraft, där berättelser i det offentliga rummet sprids med kraft och dynamik.","Large-scale series capturing pop culture’s urban imprint with bold visuals and dynamic narrative street storytelling."
17,UnKolor,CinesJekseTextHangaren2015,"UN KOLOR DISTINTO – en annan färg.

4X9m 2015.

Cines och Jekse från Valparaiso, Chile. Verket visar ett par mitt i kärlekens ljuva musik och exemplifierar hur jämställdhet och samspel kan uppnås trots olikheter.","Vibrant depiction of harmonious duality uniting contrasting elements in a playful celebration of love and balance."
18,BSergio,SERGIO,"Sergio Gio

1X1.5m

Hangarens första målning utan sprayfärg. Ett udda verk där Sergio använder en annan teknik än traditionell graffiti, vilket resulterar i en unik, naiv framställning med lyckliga, apliknande figurer.","Minimalist breakthrough abandoning spray for a fresh, unconventional urban art approach with subtle, striking charm."
